trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.3, 'e': 0.22046859952901599}",30,14,32.203966478173896,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.21849328438476318}",30,19,21.09421215863717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.2165356673160071}",25,9,16.785352771807784,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.21459558975469478}",20,0,-50.76682340064232,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.3, 'e': 0.2126728945534831}",25,7,31.24830838859819,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.2107674259730094}",20,8,20.755148450328196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.208879029669277}",20,12,18.597440656989864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.20700755268115265}",20,16,5.216540711324939,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.2051528434179772}",30,13,30.05335254981201,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.20331475164728618}",20,15,-11.307048532511715,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.2014931284826413}",20,4,-1.287333361743644,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.19968782637157012}",20,8,8.20875333791363,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.1978986990836147}",20,9,24.239721310966004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.19612560169848647}",25,5,22.95274117919881,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.1943683905943277}",20,13,11.796866041273537,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
